ApplianceCategory,ApplianceType,FlatConfig,ProportionofFlatsAppliance,BaseCycles,CalibratedCycles,MeanCycleLength,MeanCyclePower,StandbyPower,DelayRestart,MeanEnergyDemand,TimeRunYear,TimeIdleYear,ActiveOccDep,StartProportionTime,MinYeartEventventStart,ShortName,ActivityUse,AverageActivityProbability,CalibrationScalar
Cooking,Microwave,YES,0.859,94.61932241,94.61932241,30,1250,2,0,0.625,2838.579672,522761.4203,Yes,0.45865001,238227.8656,MICROWAVE,ACT_COOKING,0.144258252,0.002753256
Cooking,Kettle,YES,0.975,1519.822866,1519.822866,3,2000,1,0,0.1,4559.468598,521040.5314,Yes,0.45865001,236506.9767,KETTLE,ACTIVE_OCC,1,0.006426123
Cooking,Small cooking (group),YES,1,292.326224,292.326224,3,1000,2,0,0.05,876.9786721,524723.0213,Yes,0.45865001,240189.4666,SMALL_COOKING,ACT_COOKING,0.144258252,0.008436711
Wet,Dish washer,NO,0.335,241.4763957,241.4763957,60,1130.612245,0,0,1.130612245,14488.58374,511111.4163,Yes,0.45865001,226577.8615,DISH_WASHER,ACT_COOKING,0.144258252,0.007387824
Wet,Tumble dryer,YES,0.416,122.0729157,122.0729157,60,2500,1,0,2.5,7324.374944,518275.6251,Yes,0.45865001,233742.0703,TUMBLE_DRYER,ACT_LAUNDRY,0.017697723,0.029509717
Wet,Washing machine,YES,0.781,195.9065959,195.9065959,138,405.5434783,1,0,0.93275,27035.11023,498564.8898,Yes,0.45865001,214031.335,WASHING_MACHINE,ACT_LAUNDRY,0.017697723,0.051719499
Wet,Washer dryer,NO,0.153,195.9065959,195.9065959,198,792.0347861,1,0,2.613714794,38789.50598,486810.494,Yes,0.45865001,202276.9393,WASHER_DRYER,ACT_LAUNDRY,0.017697723,0.05472494
Water heating,DESWH,NO,0.17,2684.996846,2684.996846,20,3000,0,0,1,53699.93691,471900.0631,Yes,0.45865001,187366.5084,DESWH,ACTIVE_OCC,1,0.014330186
Water heating,E-INST,NO,0.01,7208.632835,7208.632835,5,3000,0,0,0.25,36043.16418,489556.8358,Yes,0.45865001,205023.2811,E_INST,ACTIVE_OCC,1,0.03516007
Water heating,Electric shower,YES,0.67,290.3955057,290.3955057,3,9000,0,0,0.45,871.1865171,524728.8135,Yes,0.45865001,240195.2588,ELEC_SHOWER,ACT_WASHDRESS,0.125144071,0.009660846
Electric Space Heating,Storage heaters,NO,0.0277,227.2087838,227.2087838,360,10200,0,0,61.2,81795.16217,443804.8378,No,1,443804.8378,STORAGE_HEATER,CUSTOM,0.622489819,0.000822434
Electric Space Heating,Other electric space heating,NO,0.026,365.6757762,365.6757762,240,2000,0,0,8,87762.1863,437837.8137,Yes,0.45865001,153304.259,ELEC_SPACE_HEATING,ACTIVE_OCC,1,0.002385294
